x,y,z
0.1484,0.2131,10.094
0.7781,0.1245,9.3829
0.5986,0.0431,9.7468
0.3112,0.1987,10.058
0.7949,0.1006,9.1291
0.7087,0.0503,9.7612
0.2179,0.1628,9.8593
0.9026,0.0096,9.2153
0.407,0.1508,9.9096
0.4669,0.17,9.7636
0.7829,0.0455,9.1674
0.4405,0.1676,10.1347
0.2945,0.0599,9.6438
0.9361,0.0958,9.2656
0.2011,0.1006,10.0844
0.5435,0.0407,9.6438
0.7709,0.0958,9.4643
0.2801,0.1245,10.2496
0.5028,0.0814,9.4906
0.8332,0.0814,9.5217
0.1915,0.158,10.1083
0.7685,0.0934,9.2201
0.6991,0.0407,9.6031
0.2777,0.1796,10.0868
0.7709,0.1125,9.2416
0.6393,0.1006,9.7396
0.2729,0.1796,9.8904
0.9433,0.091,9.2105
0.4669,0.0958,9.8737
0.3783,0.1365,9.8138
0.8212,0.0575,9.2249
0.5507,0.1413,9.9
0.3017,0.1053,9.73
0.9816,0.1221,9.2033
0.2777,0.1556,10.0916
0.3831,0.0527,9.7516
0.7685,0.0718,9.347
0.3232,0.1245,10.2783
0.498,0.0431,9.5289
0.8452,0.1245,9.3518
0.2466,0.1389,10.1778
0.7111,0.1149,9.3925
0.7183,0.0527,9.5122
0.2394,0.2227,10.1203
0.4645,0.0718,9.6414
0.8523,0.1173,9.5026
0.1556,0.1317,10.2065
0.6153,0.0742,9.5792
0.747,0.0958,9.4092
0.2538,0.158,10.2113
0.6488,0.1197,9.3063
0.7183,0.0479,9.7252
0.1772,0.1891,10.1586
0.7422,0.0958,9.3111
0.6967,0.0168,9.6438
0.2155,0.1221,10.1059
0.7087,0.1293,9.3565
0.6536,0.1006,9.7516
0.2921,0.1293,10.2472
0.7398,0.0814,9.347
0.6009,0.0742,9.7564
0.3232,0.0359,9.9742
0.8523,0.0024,9.2991
0.5387,0.079,9.8928
0.261,0.7973,10.3166
0.6488,0.3017,8.5569
0.6776,0.2705,10.5225
0.3926,0.1077,9.584
0.8116,0.0072,9.1842
0.3567,0.1317,10.0102
0.5291,0.067,9.5936
0.8452,0.0694,9.3781
0.2155,0.1772,10.2065
0.6919,0.0862,9.4164
0.6919,0.0455,9.5816
0.3065,0.1844,10.0916
0.7254,0.1149,9.2608
0.6536,0.1125,9.833
0.2298,0.1628,9.8904
0.8882,0.0287,9.2368
0.419,0.1101,9.8593
0.3879,0.1317,9.8545
0.8236,0.0479,9.347
0.34,0.1652,10.0604
0.4836,0.0168,9.6199
0.9074,0.0886,9.2967
